video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=KNaCJYX-mgY&pp=ygUJcG9wIG11c2lj,/@Athena_98,Athena,Top 40 Songs of 2022 2023 - Billboard Hot 100 This Week - Best Pop Music Playlist on Spotify 2023,"6,8 mln. weergaven",8 maanden geleden,Top 40 Songs of 2022 2023 - Billboard Hot 100 This Week - Best Pop Music Playlist on Spotify 2023 Top 40 Songs of 2022 2023 ...,2024-01-28 11:53:21.233089
/watch?v=xL4iqE5wOEs&pp=ygUJcG9wIG11c2lj,/@MegaHitMix666,Mega Hit Mix,"Mega Hit Mix💥Hot 50 Pop Songs Of 2023💥Dua Lipa, Miley Cyrus, Adele, Maroon 5, Ed Sheeran","1,8 mln. weergaven",4 maanden geleden,Welcome to Mega Hit Mix ▻ Follow Mega Hit Mix: https://bom.so/d2zQ6q This is the place for all the Pop music enthusiasts ...,2024-01-28 11:53:21.237399
/watch?v=fJ1dNFBUmts&pp=ygUJcG9wIG11c2lj,/@PopHitsMix888,Pop Hits Mix ,"Pop Hits Mix 2023🌟Today's Hits Clean 2023🌟The Weeknd, Charlie Puth, Justin Bieber, Dua Lipa, Adele",522K weergaven,2 maanden geleden,Welcome to Pop Hits Mix Dive into the ultimate Pop Hits Mix! Let the music take you on a journey ➤ Thank you for taking ...,2024-01-28 11:53:21.239998
/watch?v=2a5rxG4YlpY&pp=ygUJcG9wIG11c2lj,/@PopHitsMix888,Pop Hits Mix ,"Rema, Selena Gomez, Maroon 5, Justin Bieber, Adele🌟Pop Hits Mix 2023🌟Best Pop Music Playlist 2023",9 mln. weergaven,2 maanden geleden,Welcome to Pop Hits Mix Dive into the ultimate Pop Hits Mix! Let the music take you on a journey ➤ Thank you for taking ...,2024-01-28 11:53:30.354176
/watch?v=je0roKRn3nY&pp=ygUJcG9wIG11c2lj,/channel/UC-y8ci7xfsu4L3zkSuHae0A,Justin Timberlake,Justin Timberlake - Selfish (Official Video),"2,6 mln. weergaven",2 dagen geleden,Director: Bradley Calder Creative Direction: PlayLab Production: Prettybird Executive Producer: Candice Dragonas Producer: ...,2024-01-28 11:53:30.356076
/watch?v=Z-EBSdSOlKY&pp=ygUJcG9wIG11c2lj,/@billboard68686,Billboard Songs,"Best Pop Music 2023 - Miley Cyrus, Rema, Selena Gomez, Ed Sheeran,... - Billboard Hot 100 This Week","4,5 mln. weergaven",5 maanden geleden,"Best Pop Music 2023 - Miley Cyrus, Rema, Selena Gomez, Ed Sheeran,... - Billboard Hot 100 This Week ...",2024-01-28 11:53:30.360734
/watch?v=5zSCWKKnajU&pp=ygUJcG9wIG11c2lj,/@popsongsplaylistremix,Pop Songs Playlist Remix,"Pop Hits 2021 | Maroon 5, Rihanna, Dua Lipa, Bruno mars, Ed Sheeran, Ava Max, Ariana Grande",12 mln. weergaven,2 jaar geleden,▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭▭ ♢ All rights belong to their respective owners. If any owner of ...,2024-01-28 11:53:30.362466
/watch?v=u0BhX3tCzAY&pp=ygUJcG9wIG11c2lj,/@LoveLifeLyrics,Love Life Lyrics,Summer 2023 playlist 🚗 Best summer songs 2023 ~ Summer vibes 2023,"8,8 mln. weergaven",6 maanden geleden,summer2023 #summer #lovelifelyrics Summer 2023 playlist Best summer songs 2023 ~ Summer vibes 2023 Send us song ...,2024-01-28 11:53:30.378765
/watch?v=4g1GiY2iLFI&pp=ygUJcG9wIG11c2lj,/@revive,Revive Music,1 Hour Clean Pop Songs Playlist 🎧 Clean Pop Playlist 2024 🎶 Clean Pop Music Mix 🎵 Clean Pop Mix,15 mln. weergaven,11 maanden geleden,1 Hour Clean Pop Songs Playlist Clean Pop Playlist 2024 Clean Pop Music Mix Looking for the perfect New Pop Songs ...,2024-01-28 11:53:30.381175
/watch?v=fSqicTTg1Ps&pp=ygUJcG9wIG11c2lj,/@playlistus-ukmusic-cep8515,Playlist US-UK Music - CEP,Top 40 Popular Songs - Top Song This Week (Vevo Hot This Week),16 mln. weergaven,4 jaar geleden,Top 40 Popular Songs - Top Song This Week (Vevo Hot This Week) https://youtu.be/xzy4tqBPhr8 ...,2024-01-28 11:53:30.382987
/watch?v=n1YC72ZRz_E&pp=ygUJcG9wIG11c2lj,/@PopHits_93,Pop Hits,"Best Pop Music Playlist 2023 | Adele, Miley Cyrus, Justin Bieber, Rihanna, Ava Max, Zayn Vol. 14","2,6 mln. weergaven",5 maanden geleden,"Best Pop Music Playlist 2023 | Adele, Miley Cyrus, Justin Bieber, Rihanna, Ava Max, Zayn Vol. 14 Thanks for watching!",2024-01-28 11:53:30.395360
/watch?v=eHQZIyvpfD0&pp=ygUJcG9wIG11c2lj,/@MUSIC69TA,MUSIC 69,"Top 100 Songs Of 2023 - The Weeknd, Maroon 5, Ed Sheeran, Justin Bieber, Dua Lipa, Adele, Ava Max","5,2 mln. weergaven",7 maanden geleden,"music69 #billboardhot100 #top100songs Top 100 Songs Of 2023 - The Weeknd, Maroon 5, Ed Sheeran, Justin Bieber, Dua Lipa, ...",2024-01-28 11:53:30.408952
/watch?v=JnfqyASVii8&pp=ygUJcG9wIG11c2lj,/@ACVibes_,A.C Vibes,A feel good playlist ~ 100% Feel better songs ~ I'm 100% sure you will be better #2,"5,7 mln. weergaven",1 jaar geleden,A feel good playlist ~ 100% Feel better songs ~ I'm 100% sure you will be better #2 #ACvibes #feelgood #bettermood Donate ...,2024-01-28 11:53:30.411463
/watch?v=41agnP19vAY&pp=ygUJcG9wIG11c2lj,/@DjStarSunglasses,Dj StarSunglasses,🎉 Pop Party Hits Mix #03 | Middle 2000s & Early 2010s Mix - Dj StarSunglasses @DjStarSunglasses,21 mln. weergaven,1 jaar geleden,- Business Inquiries - : djstarsunglasses@live.de ⛔️   SPOTIFY Deutschrap PLAYLIST: https://spoti.fi/2IbFGGC ...,2024-01-28 11:53:37.668748
/watch?v=kVjY_tyoDx8&pp=ygUJcG9wIG11c2lj,/@taixiu48h,Tài xỉu ,2022 New Songs (Latest English Songs 2022) 🍀 Pop Music 2022 New Song 🍀 Top English Chill Songs,"2,7 mln. weergaven",1 jaar geleden,Công thức bắt cầu : Tổng 3 Hột + Xí Ngầu Lớn Nhất Ván Trước KẾT QUẢ: Chẵn Ta Đánh Xỉu Lẻ Ta Đánh Tài ( Cầu đảo ta đánh ...,2024-01-28 11:53:37.686511
/watch?v=T3oLciykTDY&pp=ygUJcG9wIG11c2lj,/@musiccollection7917,Music collection,TOP 40 Songs of 2021 2022   Best English Songs Best Hit Music Playlist on Spotify,148K weergaven,1 jaar geleden,"... #Pop Hits, pop music 2021,best music 2021,best music,music 2021,top hits,top hits 2021,top songs,top songs 2021,top music ...",2024-01-28 11:53:37.691570
/watch?v=cpOBxqrYU50&pp=ygUJcG9wIG11c2lj,/@PopMusic0523, Pop Music,"Selena Gomez, Miley Cyrus, The Weeknd, Dua Lipa, Maroon 5, Adele - Billboard top 100 this week","3,5 mln. weergaven",7 maanden geleden,"Selena Gomez, Miley Cyrus, The Weeknd, Dua Lipa, Maroon 5, Adele - Billboard top 100 this week #topsongs2023 #Popmusic ...",2024-01-28 11:53:37.694810
/watch?v=CvA8dbVXZ-I&pp=ygUJcG9wIG11c2lj,/@oldiesclassic_6886,Oldies Classic,Music Hits Oldies But Goodies 124 -  The Best Oldies Music Of 80s 90s Greatest Hits,"1,7 mln. weergaven",9 maanden geleden,Music Hits Oldies But Goodies 124 - The Best Oldies Music Of 80s 90s Greatest Hits Thanks For Watching! Don't Forget To ...,2024-01-28 11:53:37.698588
/watch?v=EdxSS-1c-cU&pp=ygUJcG9wIG11c2lj,/@MegaHitMix666,Mega Hit Mix,"Billboard Top Songs 2023💥The Weeknd, Charlie Puth, Adele, Miley Cyrus, Maroon 5, Ed Sheeran","9,3 mln. weergaven",4 maanden geleden,Welcome to Mega Hit Mix ▻ Follow Mega Hit Mix: https://bom.so/d2zQ6q This is the place for all the Pop music enthusiasts ...,2024-01-28 11:53:37.701846
/watch?v=W5Utkb85QCg&pp=ygUJcG9wIG11c2lj,/@ACVibes_,A.C Vibes,Party music mix ~ Best songs that make you dance,11 mln. weergaven,2 jaar geleden,"... and submit music: daisyng2109@gmail.com tags: A.C Vibes,chill music,chill songs,rnb mix,top hits,pop music,pop hits,english ...",2024-01-28 11:53:37.707238
/watch?v=X-yJhGcS7U4&pp=ygUJcG9wIG11c2lj,/@MoodMelodiesMusic,Mood Melodies,Instrumental Pop Music for the Classroom | 2 Hours of Clean Pop Covers for Studying,682K weergaven,5 maanden geleden,Searching for the ultimate distraction-free playlist to inspire your classroom? Look no further! This two-hour mix of clean pop cover ...,2024-01-28 11:53:37.710084
/watch?v=Ns7T1xI4-V4&pp=ygUJcG9wIG11c2lj,/@RoseateMixes,Roseate Mixes,2000s throwback vibes ~nostalgia playlist,"6,3 mln. weergaven",9 maanden geleden,"pov: you are on a roadtrip during 2000s summer night while listening to these nostalgic songs by Lady Gaga, Katy Perry, The ...",2024-01-28 11:53:37.713224
